Configuration,Total Area (um^2),Read Latency (ns),Write Latency (ns),Read Bandwidth (GB/s),Write Bandwidth (GB/s),Read Dynamic Energy (pJ),Write Dynamic Energy (pJ),Leakage Power (uW)
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/128KB/128KB.out,53263.3um^2,0.088ps,,368.628GB/s,0.107MB/s,366.446pJ,11758.0nJ,33.7767uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/256KB/256KB.out,46385.2um^2,0.119ps,,312.539GB/s,0.107MB/s,420.267pJ,11758.6nJ,22.6074uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/512KB/512KB.out,63378um^2,0.133ps,,361.181GB/s,0.107MB/s,494.581pJ,11761.9nJ,33.2127uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/1024KB/1024KB.out,72629.1um^2,0.15ps,,262.906GB/s,0.107MB/s,639.976pJ,11765.4nJ,49.8847uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/2048KB/2048KB.out,89514.9um^2,0.178ps,,171.159GB/s,0.107MB/s,927.508pJ,11769.1nJ,81.8684uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/ReadLatency/PCRAM/4096KB/4096KB.out,105008um^2,0.231ps,,117.704GB/s,0.107MB/s,1611.24nJ,11773.4nJ,175.142uW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/16KB/16KB.out,72878.8um^2,1.53123ns,,10.8595GB/s,1.59588GB/s,265.89pJ,363.111pJ,2464.18mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/32KB/32KB.out,112062um^2,1.55343ns,,10.8595GB/s,1.59588GB/s,270.286pJ,367.508pJ,4928.35mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/64KB/64KB.out,190427um^2,1.64222ns,,10.8595GB/s,1.59588GB/s,278.795pJ,376.016pJ,9856.7mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/128KB/128KB.out,77293.1um^2,1.62149ns,,10.7612GB/s,1.59426GB/s,271.155pJ,368.416pJ,2471.94mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/256KB/256KB.out,120647um^2,1.64858ns,,10.7612GB/s,1.59426GB/s,277.07pJ,374.331pJ,4943.89mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/512KB/512KB.out,77737.7um^2,1.67455ns,,10.1156GB/s,1.58811GB/s,275.711pJ,373.288pJ,1253.4mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/1024KB/1024KB.out,121293um^2,1.68806ns,,10.1156GB/s,1.58811GB/s,281.009pJ,378.587pJ,2506.8mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/2048KB/2048KB.out,208162um^2,1.74211ns,,10.1156GB/s,1.58811GB/s,287.749pJ,385.326pJ,5013.6mW
/Users/sudo/CodeProjects/Tufts/EECE0193/Final_Project/EXPERIMENTS/Input/Destiny/iso_area/WriteLatency/STTRAM/4096KB/4096KB.out,205876um^2,1.81259ns,,8.31438GB/s,1.58794GB/s,291.803pJ,390.455pJ,2623.7mW
